"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 11 22:09:10 CST 2021","Sun Apr 11 22:09:10 CST 2021","0","","test_pytest_1","TestSample","","","test_equal","testcase1"
"passed","Sun Apr 11 22:09:10 CST 2021","Sun Apr 11 22:09:10 CST 2021","0","","test_pytest_1","TestSample","","","test_not_equal","testcase2"
